CustomerID,Recency,Frequency,Monetary_Value
12346,325,1,77183.6
12347,1,7,4309.999999999997
12348,74,4,1797.24
12349,18,1,1757.55
12350,309,1,334.40000000000003
12352,35,8,2506.040000000001
12353,203,1,89.0
12354,231,1,1079.4
12355,213,1,459.4
12356,22,3,2811.4300000000007
12357,32,1,6207.669999999996
12358,1,2,1168.06
12359,57,4,6372.580000000005
12360,51,3,2662.0600000000004
12361,286,1,189.89999999999998
12362,2,10,5226.230000000003
12363,109,2,552.0
12364,7,4,1313.1000000000001
12365,290,2,641.38
12367,3,1,168.9
12370,50,4,3545.689999999998
12371,44,2,1887.9600000000003
12372,71,3,1298.0400000000002
12373,310,1,364.6
12374,24,1,742.93
12375,10,2,457.5000000000001
12377,314,2,1628.1199999999997
12378,129,1,4008.6200000000013
12379,81,2,852.2399999999997
12380,21,4,2724.81
12381,4,5,1845.3100000000006
12383,184,5,1850.5599999999997
12384,28,2,585.2700000000001
12386,337,2,401.90000000000003
12388,15,6,2780.6600000000003
12390,79,1,549.8399999999999
12391,21,1,460.88999999999993
12393,71,4,1582.6000000000004
12394,63,2,1272.48
12395,18,12,3018.6299999999987
12397,35,2,2409.9000000000005
12398,45,1,1635.6599999999999
12399,118,4,1108.65
12401,302,1,84.3
12402,322,1,225.6
12403,49,1,427.7
12405,148,1,1710.3900000000006
12406,21,2,3415.300000000001
12407,49,5,1708.1199999999997
12408,32,5,2888.5500000000006
12409,78,3,11072.670000000002
12410,308,2,693.3299999999999
12412,74,3,1226.8799999999999
12413,66,3,758.0999999999999
12414,216,3,562.41
12415,23,21,124914.52999999975
12417,2,9,3649.1
12418,112,1,668.5799999999997
12420,63,1,600.3900000000001
12421,15,4,807.0400000000002
12422,95,3,803.5599999999998
12423,0,8,1859.3100000000002
12424,162,2,1760.9599999999998
12425,77,1,777.1999999999999
12426,194,1,582.7299999999999
12427,21,3,825.8000000000002
12428,25,9,7956.460000000004
12429,8,4,3750.400000000001
12430,42,1,256.4
12431,35,15,6487.449999999999
12432,42,5,5059.3200000000015
12433,0,7,13375.869999999992
12434,84,2,806.14
12435,79,2,7829.889999999998
12436,99,1,509.01000000000005
12437,1,18,4951.409999999997
12438,13,2,2906.8500000000004
12441,366,1,173.55
12442,2,1,172.06
12444,20,5,5005.46
12445,21,1,133.4
12446,57,1,1002.3099999999998
12447,242,1,476.49
12448,43,1,449.4500000000001
